x_bin_cens,q2_bin_cens,diff_xsec,F2
0.062,725.0,3.956640566806007,0.5157914969396604
0.079,725.0,3.0007005274785694,0.502965677842985
0.099,725.0,2.4957090241781206,0.4933004051990849
0.125,725.0,1.883672311351903,0.4826286062453349
0.15500000000000003,725.0,1.4704553132637361,0.46829847845095607
0.19,725.0,1.185720864183675,0.44658899808420577
0.235,725.0,0.8739686734373631,0.41075145684431863
0.63,725.0,0.05792323804565128,0.05631963984910521
0.0515,875.0,3.7126972495351898,0.5313720192828562
0.0675,875.0,2.822118613713559,0.5129743541869798
0.086,875.0,2.147575382882793,0.5008932636842581
0.108,875.0,1.7065818334543617,0.490857325058706
0.135,875.0,1.3455114034011846,0.47894409331892823
0.16999999999999998,875.0,1.0425385793094675,0.459781572119118
0.21000000000000002,875.0,0.7825661967992842,0.4311307738659085
0.255,875.0,0.5995878988257568,0.3913260892570405
0.64,875.0,0.03409383835854736,0.05065293536392314
0.0515,1025.0,2.8855699126838315,0.533709320164371
0.0675,1025.0,2.2036593075554207,0.5149512443568323
0.086,1025.0,1.6827277257593998,0.5025110701846123
0.108,1025.0,1.3399763178817445,0.4920842428466647
0.135,1025.0,1.058021205422241,0.4797222209610832
0.16499999999999998,1025.0,0.8650903957521703,0.4631666338162165
0.2,1025.0,0.654784944004043,0.43878408986499656
0.27,1025.0,0.4385868407706139,0.3757783612708789
0.66,1025.0,0.026700734454353,0.04131855757821701
0.0555,1200.0,1.5860035543025097,0.5302962044643019
0.07150000000000001,1200.0,1.2238851314828822,0.5138340902052364
0.09,1200.0,1.0277918610434982,0.5021723042772768
0.115,1200.0,0.7509056402114387,0.4903023099991694
0.14500000000000002,1200.0,0.5914224051004973,0.4754390272296989
0.18,1200.0,0.480504334420048,0.45368959896658645
0.22,1200.0,0.3581518868919973,0.422268651202979
0.29000000000000004,1200.0,0.23186243153400657,0.35445797245577704
0.67,1200.0,0.011831821540292692,0.036863187416311026
0.062,1400.0,1.1256158437778296,0.5249871992348584
0.079,1400.0,0.8727244031651576,0.5107139828574295
0.099,1400.0,0.7341552776651752,0.4995149870526321
0.125,1400.0,0.5612071565071128,0.486989009396411
0.15500000000000003,1400.0,0.44122176773800864,0.4706648932291837
0.19,1400.0,0.35708597384692065,0.4468483021232964
0.22999999999999998,1400.0,0.2637812381490125,0.41331994310397613
0.305,1400.0,0.16743580318112178,0.33780865734610777
0.6799999999999999,1400.0,0.009260445771832253,0.03277052938921674
0.0515,1650.0,0.7797642712043764,0.5424069415933569
0.0675,1650.0,0.6155787761759565,0.52249224993008
0.086,1650.0,0.4823898119195901,0.5089210788669433
0.108,1650.0,0.3905287758685383,0.4972762871093882
0.135,1650.0,0.312221972246613,0.4835200463310641
0.16999999999999998,1650.0,0.2443014589307153,0.4621506796547384
0.21000000000000002,1650.0,0.18450244997586515,0.43127295958500006
0.255,1650.0,0.14170083028418842,0.3894144211958802
0.335,1650.0,0.08592301008112428,0.30447594154586244
0.6950000000000001,1650.0,0.0039001189669124556,0.027401053504852536
0.062,1950.0,0.5097695713028928,0.5316472672189452
0.079,1950.0,0.4037150722094138,0.5165768872513649
0.099,1950.0,0.3435729022083066,0.5045506947483158
0.125,1950.0,0.26627954643348617,0.4910331741424519
0.15500000000000003,1950.0,0.21113790811675606,0.47363834830319906
0.19,1950.0,0.1717447519764033,0.4486733810932827
0.235,1950.0,0.12742346268408097,0.40926217153794214
0.28500000000000003,1950.0,0.0956678265793622,0.3584311219514367
0.37,1950.0,0.05483119736801108,0.26555274839905163
0.715,1950.0,0.0030503996523136246,0.021319001151318386
0.0555,2250.0,0.417333660525721,0.5436864853221605
0.07150000000000001,2250.0,0.33445637735210404,0.5256846542923983
0.09,2250.0,0.2868708140207115,0.5125000910240392
0.115,2250.0,0.21578801347997384,0.49876576043574034
0.14500000000000002,2250.0,0.17256820830848582,0.4818189332440403
0.18,2250.0,0.14150223532218947,0.4578219995374533
0.22,2250.0,0.10633351825785052,0.4241191066509379
0.265,2250.0,0.08093891427515633,0.379784963781074
0.315,2250.0,0.06358288425231592,0.32584431306954886
0.4,2250.0,0.03400098829913316,0.23283892000012843
0.73,2250.0,0.0015390444800748835,0.017396102494989393
0.086,2600.0,0.21989193066682242,0.5185195865726216
0.108,2600.0,0.1810477012155685,0.5056069694832047
0.135,2600.0,0.1467236378498749,0.49040119539243304
0.16499999999999998,2600.0,0.12190506887924896,0.47088524280856453
0.2,2600.0,0.09362231349115906,0.44334418489128685
0.245,2600.0,0.07299201095195375,0.4011363081079864
0.29500000000000004,2600.0,0.054191851465741354,0.3481850467312926
